tt0025316	6	nm0002118	actor	\N	["Danker"]
tt0025316	7	nm0398446	actor	\N	["Zeke"]
tt0025316	8	nm0002768	actress	\N	["Zeke's Wife"]
tt0025316	9	nm0933161	actor	\N	["Joe Gordon"]
tt0025316	10	nm0010958	actor	\N	["The Bag Thief"]
tt0025316	11	nm0001008	director	\N	\N
tt0027977	1	nm0000122	actor	\N	["A Factory Worker"]
tt0027977	2	nm0002104	actress	\N	["A Gamin"]
tt0027977	3	nm0074788	actor	\N	["Cafe Proprietor"]
tt0027977	4	nm0761866	actor	\N	["Big Bill"]
tt0027977	5	nm0174682	actor	\N	["Mechanic"]
tt0027977	6	nm0003424	actor	\N	["Burglar"]
tt0027977	7	nm0090008	actor	\N	["Gamin's Father"]
tt0027977	8	nm0305087	actor	\N	["President of the Electro Steel Corp."]
tt0027977	9	nm0018685	actor	\N	["Prison Cellmate"]
tt0027977	10	nm0721637	actor	\N	["Minister"]
tt0027977	11	nm0000122	director	director	\N
tt0027977	13	nm0000122	composer	composer	\N
tt0029583	1	nm0143314	actress	\N	["Snow White"]
tt0029583	2	nm0143314	actress	\N	["Snow White"]
tt0029583	3	nm0830968	actor	\N	["Prince"]
tt0029583	4	nm0830968	actor	\N	["Prince"]
tt0029583	5	nm0479164	actress	\N	["Queen"]
tt0029583	6	nm0479164	actress	\N	["Queen"]
tt0029583	7	nm0479164	actress	\N	["Witch"]
tt0029583	8	nm0479164	actress	\N	["Witch"]
tt0029583	9	nm0041165	actor	\N	["Doc"]
tt0029583	10	nm0041165	actor	\N	["Doc"]
tt0029583	11	nm0118081	actor	\N	["Huntsman"]
tt0029583	12	nm0118081	actor	\N	["Huntsman"]
tt0029583	13	nm0172287	actor	\N	["Dopey"]
tt0029583	14	nm0172287	actor	\N	["Dopey"]
tt0029583	15	nm0172287	actor	\N	["Chipmunk and Squirrel Sneezes"]
tt0029583	16	nm0172287	actor	\N	["Chipmunk and Squirrel Sneezes"]
tt0029583	17	nm0173416	actor	\N	["Sleepy"]
tt0029583	18	nm0173416	actor	\N	["Sleepy"]
tt0029583	19	nm0173416	actor	\N	["Grumpy"]
tt0029583	20	nm0173416	actor	\N	["Grumpy"]
tt0029583	21	nm0173416	actor	\N	["Dopey (hiccups)"]
tt0029583	22	nm0173416	actor	\N	["Dopey (hiccups)"]
tt0029583	23	nm0201428	actress	\N	["Birds"]
tt0029583	24	nm0201428	actress	\N	["Birds"]
tt0029583	25	nm0317970	actor	\N	["Sneezy"]
tt0029583	26	nm0317970	actor	\N	["Sneezy"]
tt0029583	27	nm0363227	actor	\N	["Happy"]
tt0029583	28	nm0363227	actor	\N	["Happy"]
tt0029583	29	nm0183183	director	sequence director	\N
tt0029583	30	nm0359457	director	supervising director	\N
tt0029583	31	nm0414144	director	sequence director	\N
tt0029583	32	nm0604392	director	sequence director	\N
tt0029583	37	nm0161430	composer	composer	\N
tt0029583	38	nm0363316	composer	composer	\N
tt0029583	39	nm1345229	composer	composer	\N
tt0031381	1	nm0000022	actor	\N	["Rhett Butler - Visitor from Charleston"]
tt0031381	2	nm0000046	actress	\N	["Scarlett O'Hara - Their Daughter"]
tt0031381	3	nm0593775	actor	\N	["Gerald O'Hara"]
tt0031381	4	nm0641966	actress	\N	["Ellen O'Hara - Gerald's Wife"]
tt0031381	5	nm0450810	actress	\N	["Suellen O'Hara - Their Daughter"]
tt0031381	6	nm0751946	actress	\N	["Carreen O'Hara - Their Daughter"]
tt0031381	7	nm0001660	actor	\N	["Brent Tarleton - Scarlett's Beau"]
tt0031381	8	nm0186347	actor	\N	["Stuart Tarleton - Scarlett's Beau"]
tt0031381	9	nm0567408	actress	\N	["Mammy - House Servant"]
tt0031381	10	nm0689318	actor	\N	["Pork - House Servant"]
tt0031381	11	nm0281808	director	\N	\N
tt0031381	15	nm0000070	composer	composer	\N
tt0031679	1	nm0000071	actor	\N	["Jefferson Smith"]
tt0031679	2	nm0000795	actress	\N	["Saunders"]
tt0031679	3	nm0001647	actor	\N	["Senator Joseph Paine"]
tt0031679	4	nm0036427	actor	\N	["Jim Taylor"]
tt0031679	5	nm0452128	actor	\N	["Governor Hopper"]
tt0031679	6	nm0593775	actor	\N	["Diz Moore"]
tt0031679	7	nm0657874	actor	\N	["Chick McGann"]
tt0031679	8	nm0094135	actress	\N	["Ma Smith"]
tt0031679	9	nm0912478	actor	\N	["Senate Majority Leader"]
tt0031679	10	nm0002503	actor	\N	["President of the Senate"]
tt0031679	11	nm0001008	director	\N	\N
tt0031679	14	nm0006323	composer	\N	\N
tt0032138	1	nm0000023	actress	\N	["Dorothy Gale"]
tt0032138	2	nm0604656	actor	\N	["Professor Marvel"]
tt0032138	3	nm0604656	actor	\N	["The Gatekeeper"]
tt0032138	4	nm0604656	actor	\N	["The Carriage Driver"]
tt0032138	5	nm0001961	actor	\N	["'Hunk'"]
tt0032138	6	nm0001961	actor	\N	["The Scarecrow"]
tt0032138	7	nm0481618	actor	\N	["'Zeke'"]
tt0032138	8	nm0481618	actor	\N	["The Cowardly Lion"]
tt0032138	9	nm0355095	actor	\N	["'Hickory'"]
tt0032138	10	nm0355095	actor	\N	["The Tin Man"]
tt0032138	11	nm0000992	actress	\N	["Glinda"]
tt0032138	12	nm0002121	actress	\N	["Miss Gulch"]
tt0032138	13	nm0002121	actress	\N	["The Wicked Witch of the West"]
tt0032138	14	nm0335788	actor	\N	["Uncle Henry"]
tt0032138	15	nm0909930	actor	\N	["Nikko"]
tt0032138	16	nm0087404	actress	\N	["Auntie Em"]
tt0032138	17	nm0281808	director	\N	\N
tt0032455	4	nm0123553	actor	\N	["Narrator: Deems Taylor overdubs (2000 restoration)"]
tt0032455	5	nm0123553	actor	\N	["Narrator: Deems Taylor overdubs (2000 restoration)"]
tt0032455	6	nm0000370	actor	\N	["Mickey Mouse (segment 'The Sorcerer's Apprentice')"]
tt0032455	7	nm0000370	actor	\N	["Mickey Mouse (segment 'The Sorcerer's Apprentice')"]
tt0032455	8	nm0235079	actor	\N	["Narrator (1982 version)"]
tt0032455	9	nm0235079	actor	\N	["Narrator (1982 version)"]
tt0032455	10	nm0531763	actor	\N	["Percussionist"]
tt0032455	11	nm0001513	actor	\N	["Narrator (1985 version)"]
tt0032455	12	nm0001513	actor	\N	["Narrator (1985 version)"]
tt0032455	13	nm0637163	actress	\N	["Soloist (segment 'Ave Maria')"]
tt0032455	14	nm0637163	actress	\N	["Soloist (segment 'Ave Maria')"]
tt0032455	15	nm1345229	actor	\N	["Violinist"]
tt0032553	1	nm0000122	actor	\N	["Hynkel - Dictator of Tomania"]
tt0032553	2	nm0000122	actor	\N	["A Jewish Barber"]
tt0032553	3	nm0002104	actress	\N	["Hannah"]
tt0032553	4	nm0642988	actor	\N	["Napaloni - Dictator of Bacteria"]
tt0032553	5	nm0306786	actor	\N	["Schultz"]
tt0032553	6	nm0199787	actor	\N	["Garbitsch"]
tt0032553	7	nm0317970	actor	\N	["Herring"]
tt0032553	8	nm0354916	actress	\N	["Madame Napaloni"]
tt0032553	9	nm0214924	actor	\N	["Bacterian Ambassador"]
tt0032553	10	nm0608373	actor	\N	["Mr. Jaeckel"]
tt0032553	11	nm0242562	actress	\N	["Mrs. Jaeckel"]
tt0032553	12	nm0000122	director	\N	\N
tt0032910	1	nm0427934	actor	\N	["Pinocchio"]
tt0032910	2	nm0427934	actor	\N	["Pinocchio"]
tt0032910	3	nm0427934	actor	\N	["Alexander"]
tt0032910	4	nm0427934	actor	\N	["Alexander"]
tt0032910	5	nm0747759	actor	\N	["Geppetto"]
tt0032910	6	nm0747759	actor	\N	["Geppetto"]
tt0032910	7	nm0000305	actor	\N	["Gideon (hiccoughs)"]
tt0032910	8	nm0000305	actor	\N	["Gideon (hiccoughs)"]
tt0032910	9	nm0110893	actor	\N	["Carnival Barker"]
tt0032910	10	nm0110893	actor	\N	["Carnival Barker"]
tt0032910	11	nm0118081	actor	\N	["Carnival Barker"]
tt0032910	12	nm0118081	actor	\N	["Carnival Barker"]
tt0032910	13	nm0146185	actor	\N	["J. Worthington Foulfellow"]
tt0032910	14	nm0146185	actor	\N	["J. Worthington Foulfellow"]
tt0032910	15	nm0201428	actress	\N	["Birds"]
tt0032910	16	nm0201428	actress	\N	["Birds"]
tt0032910	17	nm0201660	actor	\N	["Lampwick"]
tt0032910	18	nm0201660	actor	\N	["Lampwick"]
tt0032910	19	nm0197368	actress	\N	["Children"]
tt0032910	20	nm0197368	actress	\N	["Children"]
tt0032910	21	nm0249893	actor	\N	["Jiminy Cricket"]
tt0032910	22	nm0249893	actor	\N	["Jiminy Cricket"]
tt0032910	23	nm0272568	director	sequence director	\N
tt0032910	24	nm0373429	director	sequence director	\N
tt0032910	25	nm0414144	director	sequence director	\N
tt0032910	26	nm0455741	director	sequence director	\N
tt0032910	31	nm0363316	composer	\N	\N
tt0032910	32	nm1345229	composer	\N	\N
tt0032976	1	nm0000059	actor	\N	["'Maxim' de Winter"]
tt0032976	2	nm0000021	actress	\N	["Mrs. de Winter"]
tt0032976	3	nm0001695	actor	\N	["Jack Favell"]
tt0032976	4	nm0000752	actress	\N	["Mrs. Danvers"]
tt0032976	5	nm0115558	actor	\N	["Major Giles Lacy"]
tt0032976	6	nm0219666	actor	\N	["Frank Crawley"]
tt0032976	7	nm0807580	actor	\N	["Colonel Julyan"]
tt0032976	8	nm0178066	actress	\N	["Beatrice Lacy"]
tt0032976	9	nm0060904	actress	\N	["Mrs. Van Hopper"]
tt0032976	10	nm0178259	actor	\N	["Coroner"]
tt0032976	11	nm0000033	director	\N	\N
tt0032976	17	nm0000077	composer	\N	\N
tt0033467	1	nm0000080	actor	\N	["Kane"]
tt0033467	2	nm0001072	actor	\N	["Jedediah Leland"]
tt0033467	3	nm0001072	actor	\N	["Screening Room Reporter"]
tt0033467	4	nm0173827	actress	\N	["Susan Alexander Kane"]
tt0033467	5	nm0001547	actress	\N	["Mary Kane"]
tt0033467	6	nm0913095	actress	\N	["Emily Monroe Norton Kane"]
tt0033467	7	nm0172615	actor	\N	["James W. Gettys"]
tt0033467	8	nm0762557	actor	\N	["Herbert Carter"]
tt0033467	9	nm0762557	actor	\N	["Screening Room Reporter"]
tt0033467	10	nm0806041	actor	\N	["Mr. Bernstein"]
tt0033467	11	nm0020041	actor	\N	["Jerry Thompson"]
tt0033467	12	nm0829717	actor	\N	["Raymond"]
tt0033467	13	nm0000080	director	\N	\N
tt0033467	17	nm0002136	composer	\N	\N
tt0033563	1	nm0001359	actor	\N	["Mr. Stork"]
tt0033563	2	nm0001359	actor	\N	["Mr. Stork"]
tt0033563	3	nm0112395	actor	\N	["Timothy Q. Mouse"]
tt0033563	4	nm0112395	actor	\N	["Timothy Q. Mouse"]
